Digestibility factors,,,,,,,,,,,,,
Dietary sources,Food group,Total Protein,Histidine,Isoleucine,Leucine,Lysine,Methionine,Cystine,Phenylalanine,Tyrosine,Threonine,Tryptophan,Valine
Lentil,Legume,0.91,0.81,0.9,0.92,0.92,0.9,0.77,0.89,0.86,0.84,0.89,0.88
Pea,Legume,0.74,0.75,0.88,0.93,0.91,0.89,0.75,0.87,0.83,0.83,0.87,0.87
Soybean table,Legume,0.91,0.92,0.92,0.91,0.93,0.93,0.81,0.92,0.93,0.87,0.92,0.91
Animal offal,Meat,0.97,0.93,0.96,0.96,0.94,0.96,0.92,0.96,0.96,0.95,0.96,0.95
Beef,Meat,1.01,0.98,0.99,0.99,0.99,0.99,0.96,0.98,0.99,0.97,0.98,0.98
Beef CW,Meat,1.01,0.98,0.99,0.99,0.99,0.99,0.96,0.98,0.99,0.97,0.98,0.98
Beef offal,Meat,0.97,0.93,0.96,0.96,0.94,0.96,0.92,0.96,0.96,0.95,0.96,0.95
Pork,Meat,1,0.99,0.98,0.98,0.99,0.98,0.93,0.98,0.98,0.98,0.99,0.97
Pork CW,Meat,1,0.99,0.98,0.98,0.99,0.98,0.93,0.98,0.98,0.98,0.99,0.97
Pork offal,Meat,0.97,0.93,0.96,0.96,0.94,0.96,0.92,0.96,0.96,0.95,0.96,0.95
Poultry,Meat,0.87,0.76,0.9,0.9,0.82,0.91,0.82,0.89,0.87,0.88,0.89,0.89
Poultry CW,Meat,0.87,0.76,0.9,0.9,0.82,0.91,0.82,0.89,0.87,0.88,0.89,0.89
Poultry offal,Meat,0.97,0.93,0.96,0.96,0.94,0.96,0.92,0.96,0.96,0.95,0.96,0.95
Veal,Meat,1.01,0.98,0.99,0.99,0.99,0.99,0.96,0.98,0.99,0.97,0.98,0.98
Veal offal,Meat,0.97,0.93,0.96,0.96,0.94,0.96,0.92,0.96,0.96,0.95,0.96,0.95
Apple juice|,Non-alcoholic beverage,0.58,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52
Citrus juice|,Non-alcoholic beverage,0.58,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52
Coffee,Non-alcoholic beverage,1,1,1,1,1,1,1,1,1,1,1,1
Tea,Non-alcoholic beverage,1,1,1,1,1,1,1,1,1,1,1,1
Almond,Nut*,0.9,0.88,0.86,0.87,0.85,0.87,0.87,0.87,0.87,0.84,0.85,0.86
Cashew nut,Nut*,0.9,0.88,0.86,0.87,0.85,0.87,0.87,0.87,0.87,0.84,0.85,0.86
Hazelnut,Nut*,0.9,0.88,0.86,0.87,0.85,0.87,0.87,0.87,0.87,0.84,0.85,0.86
Macadamia,Nut*,0.9,0.88,0.86,0.87,0.85,0.87,0.87,0.87,0.87,0.84,0.85,0.86
Peanut,Nut*,0.93,0.95,0.93,0.94,0.92,0.94,0.93,0.96,0.95,0.87,0.79,0.91
Walnut,Nut*,0.9,0.88,0.86,0.87,0.85,0.87,0.87,0.87,0.87,0.84,0.85,0.86
Animal fat,Oil,1,1,1,1,1,1,1,1,1,1,1,1
Coconut Oil,Oil,1,1,1,1,1,1,1,1,1,1,1,1
Linseed oil,Oil,1,1,1,1,1,1,1,1,1,1,1,1
Maize Germ Oil,Oil,1,1,1,1,1,1,1,1,1,1,1,1
Olive oil,Oil,1,1,1,1,1,1,1,1,1,1,1,1
Palm Kernel Oil,Oil,1,1,1,1,1,1,1,1,1,1,1,1
Palm Oil,Oil,1,1,1,1,1,1,1,1,1,1,1,1
Rapeseed oil,Oil,1,1,1,1,1,1,1,1,1,1,1,1
Rice bran oil,Oil,1,1,1,1,1,1,1,1,1,1,1,1
Sesame oil,Oil,1,1,1,1,1,1,1,1,1,1,1,1
Soybean oil,Oil,1,1,1,1,1,1,1,1,1,1,1,1
Sunflower oil,Oil,1,1,1,1,1,1,1,1,1,1,1,1
Chocolate,Other,1,1,1,1,1,1,1,1,1,1,1,1
Olive table,Other,1,1,1,1,1,1,1,1,1,1,1,1
Potato starches,Other,1,1,1,1,1,1,1,1,1,1,1,1
Spice,Spice,1,1,1,1,1,1,1,1,1,1,1,1
Sugar raw,Sugar,1,1,1,1,1,1,1,1,1,1,1,1
Sugar white,Sugar,1,1,1,1,1,1,1,1,1,1,1,1
Potato others#,Tuber,0.54,0.55,0.55,0.55,0.55,0.54,0.55,0.54,0.55,0.55,0.55,0.55
Potato ware,Tuber,0.54,0.55,0.55,0.55,0.55,0.54,0.55,0.54,0.55,0.55,0.55,0.55
Asparagus,Vegetable,0.75,0.71,0.74,0.68,0.69,0.72,0.72,0.67,0.67,0.73,0.69,0.74
Aubergine,Vegetable,0.75,0.71,0.74,0.68,0.69,0.72,0.72,0.67,0.67,0.73,0.69,0.74
Broccoli,Vegetable,0.75,0.71,0.74,0.68,0.69,0.72,0.72,0.67,0.67,0.73,0.69,0.74
Cabbage red,Vegetable,0.75,0.71,0.74,0.68,0.69,0.72,0.72,0.67,0.67,0.73,0.69,0.74
Cabbage sprouts,Vegetable,0.75,0.71,0.74,0.68,0.69,0.72,0.72,0.67,0.67,0.73,0.69,0.74
Cabbage white,Vegetable,0.75,0.71,0.74,0.68,0.69,0.72,0.72,0.67,0.67,0.73,0.69,0.74
Carrot bunched#,Vegetable,0.75,0.78,0.81,0.8,0.81,0.81,0.81,0.8,0.8,0.82,0.81,0.81
Carrot winter#,Vegetable,0.75,0.78,0.81,0.8,0.81,0.81,0.81,0.8,0.8,0.82,0.81,0.81
Cauliflower,Vegetable,0.75,0.71,0.74,0.68,0.69,0.72,0.72,0.67,0.67,0.73,0.69,0.74
Celeriac,Vegetable,0.75,0.71,0.74,0.68,0.69,0.72,0.72,0.67,0.67,0.73,0.69,0.74
Celery,Vegetable,0.75,0.71,0.74,0.68,0.69,0.72,0.72,0.67,0.67,0.73,0.69,0.74
Chicory,Vegetable,0.75,0.71,0.74,0.68,0.69,0.72,0.72,0.67,0.67,0.73,0.69,0.74
Courgette,Vegetable,0.75,0.71,0.74,0.68,0.69,0.72,0.72,0.67,0.67,0.73,0.69,0.74
Cucumber,Vegetable,0.75,0.71,0.74,0.68,0.69,0.72,0.72,0.67,0.67,0.73,0.69,0.74
